Jaar,Jaargemiddelde,Trend metingen,Lage uitstootscenario,Lage uitstootscenario-range (low),Lage uitstootscenario-range (high),2050laag,2100laag,Hoge uitstootscenario,Hoge uitstootscenario-range (low),Hoge uitstootscenario-range (high),2050hoog,2100hoog
1900,-21.8,-20.9,,,,,,,,,,
1901,-23.9,-20.6,,,,,,,,
1902,-26.7,-20.3,,,,,,,,,,
1903,-15.6,-20,,,,,,,,,,
1904,-19.4,-19.7,,,,,,,,,,
1905,-21.9,-19.5,,,,,,,,,,
1906,-18.2,-19.2,,,,,,,,,,
1907,-20.5,-18.9,,,,,,,,,,
1908,-21.2,-18.6,,,,,,,,,,
1909,-16.1,-18.4,,,,,,,,,,
1910,-15.2,-18.1,,,,,,,,,,
1911,-17.4,-17.8,,,,,,,,,,
1912,-11.2,-17.6,,,,,,,,,,
1913,-14.1,-17.3,,,,,,,,,,
1914,-12.8,-17,,,,,,,,,,
1915,-16.6,-16.8,,,,,,,,,,
1916,-11.5,-16.5,,,,,,,,,,
1917,-17,-16.2,,,,,,,,,,
1918,-17.3,-15.9,,,,,,,,,,
1919,-19.6,-15.7,,,,,,,,,,
1920,-19.1,-15.4,,,,,,,,,,
1921,-16.1,-15.3,,,,,,,,,,
1922,-16.8,-15.1,,,,,,,,,,
1923,-14.6,-14.9,,,,,,,,,,
1924,-17.2,-14.8,,,,,,,,,,
1925,-11.7,-14.7,,,,,,,,,,
1926,-13.5,-14.6,,,,,,,,,,
1927,-13.4,-14.5,,,,,,,,,,
1928,-12.1,-14.4,,,,,,,,,,
1929,-17.4,-14.2,,,,,,,,,,
1930,-12.5,-14.1,,,,,,,,,,
1931,-11.7,-13.9,,,,,,,,,,
1932,-13.2,-13.8,,,,,,,,,,
1933,-17.8,-13.6,,,,,,,,,,
1934,-16.3,-13.4,,,,,,,,,,
1935,-11.6,-13.2,,,,,,,,,,
1936,-10.1,-13,,,,,,,,,,
1937,-11.7,-12.8,,,,,,,,,,
1938,-10.3,-12.6,,,,,,,,,,
1939,-13.9,-12.4,,,,,,,,,,
1940,-13.1,-12.3,,,,,,,,,,
1941,-16.7,-12.1,,,,,,,,,,
1942,-15.1,-12,,,,,,,,,,
1943,-10.1,-11.8,,,,,,,,,,
1944,-9.1,-11.6,,,,,,,,,,
1945,-10,-11.5,,,,,,,,,,
1946,-11,-11.3,,,,,,,,,,
1947,-17.1,-11.2,,,,,,,,,,
1948,-9.8,-11,,,,,,,,,,
1949,-8.4,-10.9,,,,,,,,,,
1950,-8.5,-10.7,,,,,,,,,,
1951,-10,-10.5,,,,,,,,,,
1952,-7.6,-10.3,,,,,,,,,,
1953,-11.5,-10.1,,,,,,,,,,
1954,-8.7,-9.9,,,,,,,,,,
1955,-7.8,-9.7,,,,,,,,,,
1956,-13.6,-9.5,,,,,,,,,,
1957,-10.3,-9.4,,,,,,,,,,
1958,-9.3,-9.2,,,,,,,,,,
1959,-13.5,-9.1,,,,,,,,,,
1960,-9.7,-8.9,,,,,,,,,,
1961,-2.9,-8.8,,,,,,,,,,
1962,-8.2,-8.7,,,,,,,,,,
1963,-13.9,-8.6,,,,,,,,,,
1964,-11.8,-8.5,,,,,,,,,,
1965,-6.4,-8.3,,,,,,,,,,
1966,-3.4,-8.2,,,,,,,,,,
1967,-0.7,-8,,,,,,,,,,
1968,-7.1,-7.8,,,,,,,,,,
1969,-8.5,-7.6,,,,,,,,,,
1970,-5.2,-7.4,,,,,,,,,,
1971,-10.2,-7.1,,,,,,,,,,
1972,-13,-6.9,,,,,,,,,,
1973,-6.2,-6.7,,,,,,,,,,
1974,-5.9,-6.4,,,,,,,,,,
1975,-9.4,-6.2,,,,,,,,,,
1976,-11.7,-6,,,,,,,,,,
1977,-6.6,-5.8,,,,,,,,,,
1978,-7.4,-5.6,,,,,,,,,,
1979,-6.4,-5.5,,,,,,,,,,
1980,-3.7,-5.3,,,,,,,,,,
1981,-0.3,-5.2,,,,,,,,,,
1982,-2.7,-5,,,,,,,,,,
1983,1.1,-4.8,,,,,,,,,,
1984,-5.1,-4.6,,,,,,,,,,
1985,-4.8,-4.4,,,,,,,,,,
1986,-5.5,-4.1,,,,,,,,,,
1987,-6.2,-3.9,,,,,,,,,,
1988,1.4,-3.6,,,,,,,,,,
1989,-2.4,-3.3,,,,,,,,,,
1990,1.2,-3,,,,,,,,,,
1991,-9,-2.8,,,,,,,,,,
1992,-4.5,-2.5,,,,,,,,,,
1993,-4.7,-2.3,,,,,,,,,,
1994,-0.7,-2,,,,,,,,,,
